PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,Payment,EXCEEDS_ROUNDED_NOTIONAL_AMOUNT,CANCEL,CORRECT,NEW,Number_of_observations,CANCEL_ONLY,CORRECT_ONLY,NEW_ONLY
105.05206744444445,27690833.333333332,2909862260.138889,10,13,3,164.0,180,10,3,151.0
118.29147291666669,27541666.666666668,4265781426.5625,5,4,1,91.0,96,3,1,87.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
105.6275138793104,17474000.0,1846975826.2931035,1,6,1,109.0,116,5,1,103.0
105.65247134831462,27397752.808988765,2900257510.674157,8,11,8,70.0,89,3,8,59.0
105.64023683823531,19488676.470588237,2061565457.1617646,4,7,5,124.0,136,2,5,117.0
106.31781215686274,24730980.39215686,2634000742.745098,5,7,1,145.0,153,6,1,138.0
127.52738648648642,21784459.45945946,4443113864.695946,4,4,1,69.0,74,3,1,65.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
105.61895756097559,20895853.658536587,2215205032.902439,3,11,7,64.0,82,4,7,53.0
106.11220517241377,21946551.724137932,2332561181.12069,4,8,2,106.0,116,6,2,98.0
105.54274051094892,20276204.379562043,2139734876.2773724,1,8,6,123.0,137,2,6,115.0
105.17753008928575,15858035.714285715,1667823500.892857,0,10,2,100.0,112,8,2,90.0
124.65128068627453,24225490.19607843,4485035213.039216,5,6,2,94.0,102,4,2,88.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
105.52571057692305,19576923.076923076,2073050913.4615386,0,5,2,45.0,52,3,2,40.0
105.8060855769231,16478846.153846154,1746852120.7692308,0,3,1,48.0,52,2,1,45.0
105.43124791666662,12481770.833333334,1315914460.2083333,0,4,0,92.0,96,4,0,88.0
105.70758600000003,16435400.0,1735864545.25,0,8,1,91.0,100,7,1,83.0
120.77129401639341,21188524.590163935,3405814804.4262295,1,16,4,102.0,122,12,4,86.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
214.19100105263158,15036842.105263159,3085696191.8421054,0,3,1,34.0,38,2,1,31.0
136.24122031250002,12968750.0,1624435648.4375,0,10,6,48.0,64,4,6,38.0
169.19726523364488,24962616.822429907,4485895472.897196,0,12,7,88.0,107,5,7,76.0
226.2963127472527,16216813.186813187,3277004172.5274725,0,8,3,80.0,91,5,3,72.0
206.39181481481475,23467777.777777776,8886625061.11111,2,9,4,41.0,54,5,4,32.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
173.33660000000006,10338409.090909092,2581452093.9772725,0,6,4,34.0,44,2,4,28.0
213.89543543859645,18315789.47368421,4201570121.0526314,0,11,5,98.0,114,6,5,87.0
177.63855802469138,14691851.851851853,2656827964.1975307,0,14,5,62.0,81,9,5,48.0
198.8241838513513,20752364.864864863,3520223040.8783784,6,12,5,131.0,148,7,5,119.0
257.70699364963497,20928000.0,4608228345.051095,8,7,3,127.0,137,4,3,120.0
,,,0,0,0,0.0,0,0,0,0.0
